,Section,Instruction Mode,Class No,Enroll Stat,Open Seats,Wait List,Hour
124207,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 15:00:00
124208,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 15:00:00
124209,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 15:00:00
124210,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 15:00:00
124211,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 15:00:00
124212,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 15:00:00
124213,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 15:00:00
138221,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 16:00:00
138222,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 16:00:00
138223,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 16:00:00
138224,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 16:00:00
138225,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 16:00:00
138226,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 16:00:00
138227,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 16:00:00
138228,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 16:00:00
150995,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 17:00:00
150996,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 17:00:00
150997,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 17:00:00
150998,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 17:00:00
150999,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 17:00:00
151000,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 17:00:00
151001,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 17:00:00
151002,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 17:00:00
164640,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 18:00:00
164641,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 18:00:00
164642,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 18:00:00
164643,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 18:00:00
164644,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 18:00:00
164645,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 18:00:00
164646,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 18:00:00
164647,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 18:00:00
180473,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 19:00:00
180474,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 19:00:00
180475,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 19:00:00
180476,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 19:00:00
180477,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 19:00:00
180478,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 19:00:00
180479,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 19:00:00
180480,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 19:00:00
190561,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 20:00:00
190562,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 20:00:00
190563,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 20:00:00
190564,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 20:00:00
190565,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 20:00:00
190566,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 20:00:00
190567,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 20:00:00
190568,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 20:00:00
207002,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 21:00:00
207003,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 21:00:00
207004,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 21:00:00
207005,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 21:00:00
207006,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 21:00:00
207007,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 21:00:00
207008,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 21:00:00
207009,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 21:00:00
217737,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 22:00:00
217738,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 22:00:00
217739,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 22:00:00
217740,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 22:00:00
217741,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 22:00:00
217742,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 22:00:00
217743,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 22:00:00
217744,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 22:00:00
233332,001 (LEC),In Person,26932,Open,120,-1,2021-11-15 23:00:00
233333,002 (LEC),In Person,24565,Open,120,-1,2021-11-15 23:00:00
233334,011 (DIS),In Person,22551,Open,40,-1,2021-11-15 23:00:00
233335,012 (DIS),In Person,23854,Open,40,-1,2021-11-15 23:00:00
233336,013 (DIS),In Person,23855,Open,40,-1,2021-11-15 23:00:00
233337,014 (DIS),In Person,26935,Open,40,-1,2021-11-15 23:00:00
233338,015 (DIS),In Person,26936,Open,40,-1,2021-11-15 23:00:00
233339,016 (DIS),In Person,26937,Open,40,-1,2021-11-15 23:00:00
248421,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 00:00:00
248422,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 00:00:00
248423,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 00:00:00
248424,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 00:00:00
248425,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 00:00:00
248426,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 00:00:00
248427,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 00:00:00
248428,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 00:00:00
259041,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 01:00:00
259042,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 01:00:00
259043,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 01:00:00
259044,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 01:00:00
259045,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 01:00:00
259046,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 01:00:00
259047,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 01:00:00
259048,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 01:00:00
268767,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 02:00:00
268768,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 02:00:00
268769,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 02:00:00
268770,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 02:00:00
268771,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 02:00:00
268772,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 02:00:00
268773,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 02:00:00
268774,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 02:00:00
283676,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 03:00:00
283677,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 03:00:00
283678,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 03:00:00
283679,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 03:00:00
283680,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 03:00:00
283681,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 03:00:00
283682,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 03:00:00
283683,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 03:00:00
302402,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 04:00:00
302403,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 04:00:00
302404,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 04:00:00
302405,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 04:00:00
302406,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 04:00:00
302407,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 04:00:00
302408,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 04:00:00
302409,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 04:00:00
316283,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 05:00:00
316284,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 05:00:00
316285,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 05:00:00
316286,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 05:00:00
316287,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 05:00:00
316288,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 05:00:00
316289,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 05:00:00
316290,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 05:00:00
325046,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 06:00:00
325047,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 06:00:00
325048,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 06:00:00
325049,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 06:00:00
325050,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 06:00:00
325051,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 06:00:00
325052,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 06:00:00
325053,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 06:00:00
343721,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 07:00:00
343722,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 07:00:00
343723,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 07:00:00
343724,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 07:00:00
343725,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 07:00:00
343726,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 07:00:00
343727,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 07:00:00
343728,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 07:00:00
353810,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 08:00:00
353811,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 08:00:00
353812,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 08:00:00
353813,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 08:00:00
353814,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 08:00:00
353815,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 08:00:00
353816,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 08:00:00
353817,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 08:00:00
368751,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 09:00:00
368752,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 09:00:00
368753,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 09:00:00
368754,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 09:00:00
368755,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 09:00:00
368756,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 09:00:00
368757,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 09:00:00
368758,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 09:00:00
378065,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 10:00:00
378066,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 10:00:00
378067,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 10:00:00
378068,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 10:00:00
378069,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 10:00:00
378070,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 10:00:00
378071,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 10:00:00
378072,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 10:00:00
391499,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 11:00:00
391500,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 11:00:00
391501,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 11:00:00
391502,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 11:00:00
391503,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 11:00:00
391504,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 11:00:00
391505,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 11:00:00
391506,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 11:00:00
406442,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 12:00:00
406443,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 12:00:00
406444,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 12:00:00
406445,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 12:00:00
406446,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 12:00:00
406447,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 12:00:00
406448,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 12:00:00
406449,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 12:00:00
422540,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 13:00:00
422541,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 13:00:00
422542,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 13:00:00
422543,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 13:00:00
422544,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 13:00:00
422545,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 13:00:00
422546,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 13:00:00
422547,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 13:00:00
434300,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 14:00:00
434301,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 14:00:00
434302,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 14:00:00
434303,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 14:00:00
434304,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 14:00:00
434305,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 14:00:00
434306,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 14:00:00
434307,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 14:00:00
446127,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 15:00:00
446128,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 15:00:00
446129,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 15:00:00
446130,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 15:00:00
446131,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 15:00:00
446132,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 15:00:00
446133,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 15:00:00
446134,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 15:00:00
463794,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 16:00:00
463795,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 16:00:00
463796,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 16:00:00
463797,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 16:00:00
463798,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 16:00:00
463799,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 16:00:00
463800,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 16:00:00
463801,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 16:00:00
477122,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 17:00:00
477123,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 17:00:00
477124,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 17:00:00
477125,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 17:00:00
477126,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 17:00:00
477127,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 17:00:00
477128,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 17:00:00
477129,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 17:00:00
488381,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 18:00:00
488382,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 18:00:00
488383,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 18:00:00
488384,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 18:00:00
488385,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 18:00:00
488386,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 18:00:00
488387,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 18:00:00
488388,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 18:00:00
504047,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 19:00:00
504048,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 19:00:00
504049,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 19:00:00
504050,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 19:00:00
504051,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 19:00:00
504052,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 19:00:00
504053,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 19:00:00
504054,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 19:00:00
519159,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 20:00:00
519160,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 20:00:00
519161,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 20:00:00
519162,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 20:00:00
519163,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 20:00:00
519164,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 20:00:00
519165,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 20:00:00
519166,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 20:00:00
525650,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 21:00:00
525651,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 21:00:00
525652,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 21:00:00
525653,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 21:00:00
525654,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 21:00:00
525655,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 21:00:00
525656,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 21:00:00
525657,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 21:00:00
542060,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 22:00:00
542061,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 22:00:00
542062,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 22:00:00
542063,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 22:00:00
542064,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 22:00:00
542065,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 22:00:00
542066,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 22:00:00
542067,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 22:00:00
556595,001 (LEC),In Person,26932,Open,120,-1,2021-11-16 23:00:00
556596,002 (LEC),In Person,24565,Open,120,-1,2021-11-16 23:00:00
556597,011 (DIS),In Person,22551,Open,40,-1,2021-11-16 23:00:00
556598,012 (DIS),In Person,23854,Open,40,-1,2021-11-16 23:00:00
556599,013 (DIS),In Person,23855,Open,40,-1,2021-11-16 23:00:00
556600,014 (DIS),In Person,26935,Open,40,-1,2021-11-16 23:00:00
556601,015 (DIS),In Person,26936,Open,40,-1,2021-11-16 23:00:00
556602,016 (DIS),In Person,26937,Open,40,-1,2021-11-16 23:00:00
570153,001 (LEC),In Person,26932,Open,120,-1,2021-11-17 00:00:00
570154,002 (LEC),In Person,24565,Open,120,-1,2021-11-17 00:00:00
570155,011 (DIS),In Person,22551,Open,40,-1,2021-11-17 00:00:00
570156,012 (DIS),In Person,23854,Open,40,-1,2021-11-17 00:00:00
570157,013 (DIS),In Person,23855,Open,40,-1,2021-11-17 00:00:00
570158,014 (DIS),In Person,26935,Open,40,-1,2021-11-17 00:00:00
570159,015 (DIS),In Person,26936,Open,40,-1,2021-11-17 00:00:00
570160,016 (DIS),In Person,26937,Open,40,-1,2021-11-17 00:00:00
578976,001 (LEC),In Person,26932,Open,120,-1,2021-11-17 01:00:00
578977,002 (LEC),In Person,24565,Open,120,-1,2021-11-17 01:00:00
578978,011 (DIS),In Person,22551,Open,40,-1,2021-11-17 01:00:00
578979,012 (DIS),In Person,23854,Open,40,-1,2021-11-17 01:00:00
578980,013 (DIS),In Person,23855,Open,40,-1,2021-11-17 01:00:00
578981,014 (DIS),In Person,26935,Open,40,-1,2021-11-17 01:00:00
578982,015 (DIS),In Person,26936,Open,40,-1,2021-11-17 01:00:00
578983,016 (DIS),In Person,26937,Open,40,-1,2021-11-17 01:00:00
597718,001 (LEC),In Person,26932,Open,120,-1,2021-11-17 02:00:00
597719,002 (LEC),In Person,24565,Open,120,-1,2021-11-17 02:00:00
597720,011 (DIS),In Person,22551,Open,40,-1,2021-11-17 02:00:00
597721,012 (DIS),In Person,23854,Open,40,-1,2021-11-17 02:00:00
597722,013 (DIS),In Person,23855,Open,40,-1,2021-11-17 02:00:00
597723,014 (DIS),In Person,26935,Open,40,-1,2021-11-17 02:00:00
